date,inflation,unemployment
1954-01-01,0.30073661679795133,3.6
1954-02-01,-0.6653922544254082,3.8
1954-03-01,0.5979439200904085,4.1
1954-04-01,0.5232347458121328,4.7
1954-05-01,-0.5917048199543601,4.6
1954-06-01,-1.0373602324674953,4.5
1954-07-01,-0.8907027008484741,4.6
1954-08-01,-1.0422276526728298,5.1
1954-09-01,-1.1143470029521614,5.4
1954-10-01,-1.2632962190622006,4.7
1954-11-01,-0.6693838211408748,4.1
1954-12-01,-0.22137117320452818,3.8
1955-01-01,-0.14713323686916416,3.8
1955-02-01,0.5242580350443043,3.5
1955-03-01,-0.07415320518519734,3.5
1955-04-01,-0.4477335871795735,3.9
1955-05-01,-0.07334197355172882,3.2
1955-06-01,-0.745848119858113,3.1
1955-07-01,0.45091941888993176,3.0
1955-08-01,0.22745573173908293,2.9
1955-09-01,0.8241924686262875,2.8
1955-10-01,1.1980506876703638,2.9
1955-11-01,0.5259292638452523,3.0
1955-12-01,1.0485131906567784,3.0
1956-01-01,0.298839789878284,2.9
1956-02-01,0.8198118444519492,3.0
1956-03-01,1.11505072294296,3.0
1956-04-01,2.0773578155912893,2.9
1956-05-01,3.4063951764331115,3.1
1956-06-01,3.3293387483741146,3.0
1956-07-01,3.3988912485151825,3.0
1956-08-01,4.2714011626280115,2.8
1956-09-01,3.528734991072117,2.9
1956-10-01,3.513242693043898,2.8
1956-11-01,2.7714754970862767,3.0
1956-12-01,3.5645474863202278,3.1
1957-01-01,3.703269171001015,3.0
1957-02-01,3.035763452279431,2.9
1957-03-01,3.5370165851115,2.6
1957-04-01,3.4503208381104358,3.0
1957-05-01,3.729972941623453,2.9
1957-06-01,3.42885141521632,3.1
1957-07-01,3.280082170357627,3.0
1957-08-01,2.7775696075435654,3.1
1957-09-01,2.9119096950504666,3.4
1957-10-01,2.5485818929686967,3.6
1957-11-01,3.1736289851727086,3.9
1957-12-01,2.954099099183564,4.2
1958-01-01,3.8558826573303264,4.6
1958-02-01,4.340815113166844,5.1
1958-03-01,3.7052218928278737,5.5
1958-04-01,3.075509908158706,6.0
1958-05-01,1.7429099288374144,6.1
1958-06-01,1.6700560484860276,6.2
1958-07-01,0.2780615579023576,6.3
1958-08-01,-0.20687089793415994,6.3
1958-09-01,0.06984995990049588,5.8
1958-10-01,0.4153447182773811,5.5
1958-11-01,0.8298528862351201,5.0
1958-12-01,0.4147706089525454,4.9
1959-01-01,0.41519955826503746,4.6
1959-02-01,0.4842364930251402,4.5
1959-03-01,0.6215943101387328,4.1
1959-04-01,0.9655187167103157,3.7
1959-05-01,0.9641906272748674,3.6
1959-06-01,1.2389642754461232,3.6
1959-07-01,1.9256414988632324,3.6
1959-08-01,2.5403652478638112,3.6
1959-09-01,2.126286572915563,4.3
1959-10-01,2.0530515120701627,4.1
1959-11-01,1.5062155414859373,4.7
1959-12-01,1.5727704267815483,3.8
1960-01-01,1.092989755088584,3.9
1960-02-01,1.2932821145104783,3.5
1960-03-01,1.496396535634385,4.0
1960-04-01,1.3580824033153232,3.9
1960-05-01,1.2248302339197308,3.9
1960-06-01,1.3585348152373593,4.0
1960-07-01,1.3585348152373593,4.2
1960-08-01,1.4201082495961563,4.4
